iter,alpha_M1f,beta_M1f,LL_M1f,LL_M3_sim,LR_sim,best_init_idx,n_total_sim,ll_init_0,ll_init_1,ll_init_2,ll_init_3,ll_init_4,ll_init_anchor
66,0,0.01,-726951.499587,-726951.499587,0.000000,-1,122561,-726951.553034,-726951.979907,-726952.589502,-726951.800223,-726952.723389,-726951.499587
67,0.004439523058,0.03609157372,-725760.434848,-725760.839133,0.808571,3,122281,-725760.680207,-725760.458936,-725760.644556,-725760.434848,-725760.696128,-725760.839133
68,0,0.01,-726855.825682,-726855.825682,0.000000,-1,122531,-726855.910864,-726857.760338,-726858.666807,-726857.482553,-726858.859421,-726855.825682
69,0,0.01,-726794.214538,-726794.214538,0.000000,-1,122522,-726794.260607,-726796.242071,-726797.215651,-726795.894429,-726797.421200,-726794.214538
70,0,0.01,-727010.039323,-727010.039323,-0.000000,-1,122527,-727010.069240,-727011.154690,-727011.912075,-727010.905450,-727012.065327,-727010.039323
71,0,0.01,-724311.001680,-724311.001680,-0.000000,-1,122014,-724311.031719,-724312.227577,-724312.754039,-724312.088452,-724312.868815,-724311.001680
72,0.00272509944,0.07785347879,-730696.081061,-730696.462632,0.763142,3,123299,-730696.471534,-730696.240037,-730696.794639,-730696.081061,-730696.911453,-730696.462632
73,0.0001001730111,0.01034656351,-726642.737570,-726642.759290,0.043439,0,122555,-726642.737570,-726645.067679,-726645.806101,-726644.837468,-726645.956699,-726642.759290
74,0,0.01,-727461.817053,-727461.817053,0.000000,-1,122652,-727461.867740,-727463.369290,-727464.187506,-727463.083288,-727464.362942,-727461.817053
75,0.0001002470207,0.01077311629,-727885.024061,-727885.040393,0.032665,0,122692,-727885.024061,-727885.772324,-727886.495020,-727885.515036,-727886.649275,-727885.040393
76,0,0.01,-728345.221163,-728345.221163,-0.000000,-1,122868,-728345.230290,-728346.557761,-728347.312101,-728346.301747,-728347.472327,-728345.221163
77,0.003607427082,0.05159100068,-727199.679907,-727200.145423,0.931031,3,122589,-727199.814302,-727199.755337,-727200.088866,-727199.679907,-727200.167072,-727200.145422
78,0,0.01,-727491.951176,-727491.951176,0.000000,-1,122656,-727491.982318,-727493.592171,-727494.233149,-727493.425225,-727494.375011,-727491.951176
79,0,0.01,-727270.681667,-727270.681667,0.000000,-1,122610,-727270.683121,-727273.024789,-727273.877039,-727272.732887,-727274.069421,-727270.681667
80,0,0.01,-727522.157869,-727522.157869,0.000000,-1,122661,-727522.162778,-727524.033300,-727524.685189,-727523.859879,-727524.825988,-727522.157869
81,0.0001003631104,0.01078870458,-728193.877076,-728193.901278,0.048403,0,122763,-728193.877076,-728195.656785,-728196.181288,-728195.535296,-728196.307935,-728193.901278
82,0.002813938359,0.0714452781,-727530.768593,-727531.064254,0.591322,3,122644,-727531.027515,-727531.097575,-727531.920018,-727530.768593,-727532.056286,-727531.064254
83,0,0.01,-731086.490818,-731086.490818,-0.000000,-1,123429,-731086.514463,-731088.034281,-731088.907099,-731087.739599,-731089.067210,-731086.490818
84,0.003717519732,0.07547291055,-727484.482450,-727487.253777,5.542656,3,122666,-727484.864082,-727484.645205,-727485.133052,-727484.482450,-727485.223417,-727487.253777
85,0.0001002355117,0.01078454643,-728868.273957,-728868.290327,0.032741,0,122898,-728868.273957,-728869.345734,-728869.878244,-728869.201507,-728869.997937,-728868.290327
86,0,0.01,-726027.427622,-726027.427622,-0.000000,-1,122312,-726027.470794,-726028.989478,-726029.689218,-726028.791502,-726029.837700,-726027.427622
87,0,0.01,-727899.543179,-727899.543179,0.000000,-1,122777,-727899.561987,-727899.736241,-727900.276247,-727899.582991,-727900.387671,-727899.543179
88,0.0001000147315,0.01078298396,-725865.818192,-725865.821005,0.005627,0,122286,-725865.818192,-725867.844027,-725868.457887,-725867.689828,-725868.613805,-725865.821005
89,0.00010030115,0.01035059672,-725207.022939,-725207.059826,0.073774,0,122184,-725207.022939,-725208.355234,-725209.025334,-725208.123776,-725209.168990,-725207.059826
90,0,0.01,-727252.012364,-727252.012365,0.000000,-1,122620,-727252.066516,-727253.943044,-727254.767613,-727253.703582,-727254.965220,-727252.012364
91,0,0.01,-728292.422423,-728292.422423,-0.000000,-1,122809,-728292.439687,-728294.463798,-728295.151873,-728294.291068,-728295.312008,-728292.422423
92,0.0001155689887,0.03036054929,-729399.681332,-729399.757281,0.151899,0,122991,-729399.681332,-729400.223790,-729400.578010,-729400.150226,-729400.653145,-729399.757281
93,0,0.01,-726173.909260,-726173.909259,-0.000000,-1,122420,-726173.945282,-726175.914437,-726176.597494,-726175.750952,-726176.763491,-726173.909260
94,0,0.01,-727273.632672,-727273.632672,0.000000,-1,122659,-727273.645040,-727275.427887,-727276.063163,-727275.259150,-727276.205372,-727273.632672
95,0,0.01,-728648.015682,-728648.015682,-0.000000,-1,122851,-728648.055189,-728649.050938,-728649.635930,-728648.894867,-728649.771585,-728648.015682
